--------------
C:\Users\mcmar\source\repos\betting\Betting\bin\Release>Betting.exe -u -e --league=Championship -y=2018 -r=9 > ..\..\..\OutputData\dataII1Championship.txt
--------------


 R2 values  1 0.69, X 0.52, 2 0.09 metric 5067 

 R2 values  1 0.60, X 0.65, 2 0.04 metric 138 

 R2 values  1 0.53, X 0.50, 2 0.08 metric 7561 

 R2 values  1 0.70, X 0.74, 2 0.29 metric 156 

 R2 values  1 0.55, X 0.52, 2 0.20 metric 2559 

 R2 values  1 0.70, X 0.62, 2 0.18 metric 5068 

 R2 values  1 0.68, X 0.63, 2 0.00 metric 139 

 R2 values  1 0.76, X 0.66, 2 0.07 metric 172 

 R2 values  1 0.62, X 0.40, 2 0.13 metric 7562 

 R2 values  1 0.71, X 0.53, 2 0.22 metric 2560 

 R2 values  1 0.67, X 0.60, 2 0.31 metric 157 

 R2 values  1 0.79, X 0.76, 2 0.18 metric 140 

 R2 values  1 0.58, X 0.85, 2 0.01 metric 173 

 R2 values  1 0.59, X 0.60, 2 0.25 metric 5069 

 R2 values  1 0.71, X 0.61, 2 0.19 metric 7563 

 R2 values  1 0.53, X 0.58, 2 0.04 metric 158 

 R2 values  1 0.58, X 0.32, 2 0.22 metric 2561 

 R2 values  1 0.73, X 0.87, 2 0.11 metric 141 

 R2 values  1 0.63, X 0.68, 2 0.15 metric 174 

 R2 values  1 0.52, X 0.52, 2 0.01 metric 7564 

 R2 values  1 0.88, X 0.88, 2 0.21 metric 5070 

 R2 values  1 0.68, X 0.80, 2 0.04 metric 142 

 R2 values  1 0.72, X 0.61, 2 0.19 metric 159 

 R2 values  1 0.76, X 0.75, 2 0.03 metric 5071 

 R2 values  1 0.71, X 0.83, 2 0.16 metric 175 

 R2 values  1 0.67, X 0.51, 2 0.20 metric 7565 

 R2 values  1 0.51, X 0.46, 2 0.17 metric 187 

 R2 values  1 0.75, X 0.70, 2 0.07 metric 160 

 R2 values  1 0.50, X 0.57, 2 0.07 metric 2562 

 R2 values  1 0.81, X 0.78, 2 0.06 metric 5072 

 R2 values  1 0.64, X 0.62, 2 0.21 metric 176 

 R2 values  1 0.55, X 0.64, 2 0.06 metric 161 

 R2 values  1 0.51, X 0.51, 2 0.16 metric 188 

 R2 values  1 0.59, X 0.62, 2 0.01 metric 2563 

 R2 values  1 0.51, X 0.29, 2 0.20 metric 7566 

 R2 values  1 0.58, X 0.48, 2 0.18 metric 177 

 R2 values  1 0.73, X 0.53, 2 0.15 metric 162 

 R2 values  1 0.53, X 0.49, 2 0.19 metric 189 

 R2 values  1 0.76, X 0.80, 2 0.19 metric 5073 

 R2 values  1 0.36, X 0.16, 2 0.28 metric 7567 

 R2 values  1 0.64, X 0.50, 2 0.20 metric 178 

 R2 values  1 0.69, X 0.64, 2 0.13 metric 203 

 R2 values  1 0.57, X 0.52, 2 0.18 metric 2564 

 R2 values  1 0.80, X 0.74, 2 0.06 metric 5074 

 R2 values  1 0.82, X 0.77, 2 0.12 metric 190 

 R2 values  1 0.56, X 0.47, 2 0.12 metric 179 

 R2 values  1 0.73, X 0.66, 2 0.17 metric 204 

 R2 values  1 0.66, X 0.37, 2 0.35 metric 7568 

 R2 values  1 0.69, X 0.68, 2 0.40 metric 5075 

 R2 values  1 0.67, X 0.71, 2 0.20 metric 180 

 R2 values  1 0.59, X 0.42, 2 0.28 metric 2565 

 R2 values  1 0.78, X 0.81, 2 0.17 metric 205 

 R2 values  1 0.66, X 0.66, 2 0.17 metric 191 

 R2 values  1 0.56, X 0.23, 2 0.38 metric 7569 

 R2 values  1 0.67, X 0.62, 2 0.11 metric 5076 

 R2 values  1 0.49, X 0.56, 2 0.06 metric 2566 

 R2 values  1 0.82, X 0.78, 2 0.07 metric 206 

 R2 values  1 0.55, X 0.55, 2 0.12 metric 181 

 R2 values  1 0.65, X 0.57, 2 0.11 metric 7570 

 R2 values  1 0.56, X 0.47, 2 0.19 metric 5077 

 R2 values  1 0.82, X 0.85, 2 0.02 metric 207 

 R2 values  1 0.70, X 0.58, 2 0.06 metric 192 

 R2 values  1 0.44, X 0.44, 2 0.11 metric 2567 

 R2 values  1 0.75, X 0.76, 2 0.11 metric 208 

